"sp_c_001" "sp_c_002" "sp_c_003" "sp_c_004" "sp_c_005" "sp_c_006" "sp_c_007" "sp_c_008" "sp_c_009" "sp_c_010" "sp_c_011" "sp_c_012" "sp_c_013" "sp_c_014" "sp_c_015" "sp_c_016" "sp_c_017" "sp_c_018" "sp_c_019"
"sp_r_001" 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sp_r_002" 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
"sp_r_003" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"sp_r_004" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"sp_r_005" 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1
"sp_r_006" 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1
"sp_r_007" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"sp_r_008" 0 0 0 0 1 0 1 1 1 0 0 0 1 0 1 0 0 0 1
"sp_r_009" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"sp_r_010" 1 1 0 1 0 1 0 0 1 1 0 0 1 0 0 1 1 1 1
"sp_r_011" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"sp_r_012" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"sp_r_013" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"sp_r_014" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
