"sp_c_001" "sp_c_002" "sp_c_003" "sp_c_004" "sp_c_005" "sp_c_006" "sp_c_007" "sp_c_008" "sp_c_009" "sp_c_010" "sp_c_011" "sp_c_012" "sp_c_013" "sp_c_014" "sp_c_015" "sp_c_016" "sp_c_017" "sp_c_018" "sp_c_019" "sp_c_020" "sp_c_021" "sp_c_022" "sp_c_023" "sp_c_024" "sp_c_025" "sp_c_026" "sp_c_027" "sp_c_028" "sp_c_029" "sp_c_030" "sp_c_031" "sp_c_032" "sp_c_033" "sp_c_034" "sp_c_035" "sp_c_036" "sp_c_037" "sp_c_038" "sp_c_039" "sp_c_040" "sp_c_041" "sp_c_042" "sp_c_043" "sp_c_044" "sp_c_045" "sp_c_046" "sp_c_047" "sp_c_048" "sp_c_049" "sp_c_050" "sp_c_051" "sp_c_052" "sp_c_053" "sp_c_054" "sp_c_055" "sp_c_056" "sp_c_057" "sp_c_058" "sp_c_059" "sp_c_060" "sp_c_061" "sp_c_062" "sp_c_063"
"sp_r_001" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sp_r_002" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sp_r_003" 1 0 0 0 0 1 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sp_r_004" 1 1 1 0 0 0 1 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sp_r_005" 1 0 0 0 0 1 1 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sp_r_006" 1 0 0 0 0 1 1 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sp_r_007" 1 1 0 1 0 0 1 1 0 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sp_r_008" 1 1 1 1 0 0 1 1 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sp_r_009" 1 1 0 1 0 0 1 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sp_r_010" 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
